date,week,country,cases,death,temp,humidity,population,lat,long,prev_cases,prev_death,prev_cases2,prev_death2,school_closing,workplace_closing,cancel_public_event,rest_on_gathering,close_public_transp,stay_at_home,movement_rest,intern_travel
2020/03/02,10,SE,135,0,2.5,90,25,59.334591,18.063240,10,0,0,0,0,0,0,0,0,0,0,300
2020/03/02,10,DK,33,0,4.4,86.9,137,55.676098,12.568337,3,0,0,0,0,0,100,0,0,100,0,200
2020/03/02,10,NO,132,0,-0.9,94.5,15,59.911491,10.757933,15,0,0,0,0,0,0,0,0,0,0,0
2020/03/02,10,FI,16,0,1.6,92.5,18,60.192059,24.945831,2,0,0,0,0,0,0,0,0,0,0,3
2020/03/09,11,SE,777,2,3.5,76.4,25,59.334591,18.063240,135,0,10,0,0,0,100,200,0,0,0,300
2020/03/09,11,DK,251,0,5.6,79.6,137,55.676098,12.568337,33,0,3,0,300,100,100,0,100,100,100,300
2020/03/09,11,NO,760,1,1.8,76.3,15,59.911491,10.757933,132,0,15,0,300,200,0,200,100,0,0,0
2020/03/09,11,FI,191,0,1.6,25.1,18,60.192059,24.945831,16,0,2,0,0,100,200,100,0,0,0,300
2020/03/16,12,SE,810,28,2,76.6,25,59.334591,18.063240,777,2,135,0,200,100,100,200,0,0,100,300
2020/03/16,12,DK,533,13,6.3,75,137,55.676098,12.568337,251,0,33,0,300,200,100,400,100,100,100,400
2020/03/16,12,NO,1019,6,3,65.4,15,59.911491,10.757933,760,1,132,0,300,200,0,200,100,0,200,400
2020/03/16,12,FI,311,1,1.3,74.9,18,60.192059,24.945831,191,0,16,0,0,200,200,400,0,100,100,400
2020/03/23,13,SE,1631,136,3.9,54.8,25,59.334591,18.063240,810,28,777,2,200,100,100,200,0,100,100,300
2020/03/23,13,DK,1063,52,4.4,62.6,137,55.676098,12.568337,533,13,251,0,300,200,100,400,100,100,100,400
2020/03/23,13,NO,1919,13,2.9,71.8,15,59.911491,10.757933,1019,6,760,1,300,200,200,400,100,0,200,400
2020/03/23,13,FI,697,8,3.1,63.4,18,60.192059,24.945831,311,1,191,0,200,200,200,400,0,100,200,400
2020/03/30,14,SE,3112,369,2.7,57.3,25,59.334591,18.063240,1631,136,810,28,200,100,200,300,100,100,100,300
2020/03/30,14,DK,2113,96,4.8,65.5,137,55.676098,12.568337,1063,52,533,13,300,200,100,400,100,100,100,400
2020/03/30,14,NO,1665,30,2.5,48.6,15,59.911491,10.757933,1919,13,1019,6,300,200,200,400,100,0,200,400
2020/03/30,14,FI,664,16,0.7,65.2,18,60.192059,24.945831,697,8,311,1,200,200,200,400,0,100,200,400
2020/04/06,15,SE,3578,652,6.8,60.3,25,59.334591,18.063240,3112,369,1631,136,200,100,200,300,100,100,100,300
2020/04/06,15,DK,1635,99,8.2,69,137,55.676098,12.568337,2113,96,1063,52,300,200,100,400,100,100,100,400
2020/04/06,15,NO,810,48,5.3,61.7,15,59.911491,10.757933,1665,30,1919,13,300,200,200,400,100,0,200,400
2020/04/06,15,FI,1023,24,4.7,63.6,18,60.192059,24.945831,664,16,697,8,200,200,200,400,0,100,200,400
2020/04/13,16,SE,3691,625,6.7,55,25,59.334591,18.063240,3578,652,3112,369,200,100,200,300,100,100,100,300
2020/04/13,16,DK,1218,86,8.3,58,137,55.676098,12.568337,1635,99,2113,96,200,200,100,400,100,100,100,400
2020/04/13,16,NO,664,50,5.6,47.7,15,59.911491,10.757933,810,48,1665,30,300,200,200,400,100,0,200,400
2020/04/13,16,FI,776,41,3.1,76.5,18,60.192059,24.945831,1023,24,664,16,200,200,200,400,0,100,100,400
2020/04/20,17,SE,4350,72,9.4,56.8,25,59.334591,18.063240,3691,625,3578,652,200,100,200,300,100,100,100,300
2020/04/20,17,DK,1282,72,10.1,62.2,137,55.676098,12.568337,1218,86,1635,99,200,200,100,400,100,100,100,400
2020/04/20,17,NO,425,45,9.9,45.8,15,59.911491,10.757933,664,50,810,48,300,200,200,300,100,0,100,400
2020/04/20,17,FI,794,96,6.6,56,18,60.192059,24.945831,776,41,1023,24,200,200,200,100,0,100,100,400
2020/04/27,18,SE,4045,543,5.4,73.3,25,59.334591,18.063240,4350,572,3691,625,200,100,200,300,100,100,100,300
2020/04/27,18,DK,1010,5,8.4,78.9,137,55.676098,12.568337,1282,72,1218,86,200,200,100,400,100,100,100,400
2020/04/27,18,NO,292,11,5.1,71.1,15,59.911491,10.757933,425,45,664,50,200,200,200,300,100,0,100,400
2020/04/27,18,FI,704,34,4.4,63.6,18,60.192059,24.945831,794,96,776,41,200,200,200,400,0,100,100,400
2020/05/04,19,SE,3925,515,8.7,66.8,25,59.334591,18.063240,4045,543,4350,572,200,100,200,300,100,100,100,300
2020/05/04,19,DK,691,43,10.5,67.8,137,55.676098,12.568337,1010,5,1282,72,200,200,100,400,100,100,100,400
2020/05/04,19,NO,310,9,8.2,49.1,15,59.911491,10.757933,292,11,425,45,200,200,200,300,100,0,100,400
2020/05/04,19,FI,701,45,8.5,62,18,60.192059,24.945831,704,34,794,96,200,200,200,400,0,100,100,400
2020/05/11,20,SE,4040,421,6.3,70,25,59.334591,18.063240,3925,515,4045,543,200,100,200,300,100,100,100,300
